1-1	0-2	Un
10-8	1456-1465	esponjoso
10-9	1466-1474	obtenido
10-10	1475-1477	de
10-11	1478-1480	la
10-12	1481-1485	zona
10-13	1486-1493	donante
10-14	1493-1494	.

11-1	1495-1498	Los
11-2	1499-1508	controles
11-3	1509-1521	radiológicos
11-4	1522-1537	postoperatorios
11-5	1538-1546	muestran
11-6	1547-1550	una
11-7	1551-1565	reconstrucción
11-8	1566-1575	anatómica
11-9	1576-1579	con
11-10	1580-1585	buena
11-11	1586-1599	consolidación
11-12	1600-1604	ósea
11-13	1604-1605	.

12-1	1609-1611	El
12-2	1612-1619	estudio
12-3	1620-1637	anatomopatológico
12-4	1638-1644	reveló
12-5	1645-1653	espacios
12-6	1654-1664	vasculares
12-7	1665-1674	dilatados
12-8	1675-1686	recubiertos
12-9	1687-1689	de
12-10	1690-1699	endotelio
12-11	1700-1703	sin
12-12	1704-1710	atipia
12-13	1710-1711	,
12-14	1712-1725	concluyéndose
12-15	1726-1728	un
12-16	1729-1730	"
12-17	1730-1740	hemangioma
12-18	1741-1750	intraóseo
12-19	1750-1751	"
12-20	1751-1752	.

13-1	1753-1756	Sin
13-2	1757-1764	embargo
13-3	1764-1765	,
13-4	1766-1768	el
13-5	1769-1776	estudio
13-6	1777-1795	inmunohistoquímico
13-7	1796-1799	fue
13-8	1800-1808	negativo
13-9	1809-1813	para
13-10	1814-1818	GLUT
13-11	1818-1819	-
13-12	1819-1820	1
13-13	1820-1821	.

14-1	1822-1825	Por
14-2	1826-1831	tanto
14-3	1831-1832	,
14-4	1833-1845	consideramos
14-5	1846-1849	que
14-6	1850-1852	el
14-7	1853-1864	diagnóstico
14-8	1865-1873	correcto
14-9	1874-1881	clínica
14-10	1882-1883	e
14-11	1884-1907	inmunohistoquímicamente
14-12	1908-1910	es
14-13	1911-1913	de
14-14	1914-1926	malformación
14-15	1927-1933	venosa
14-16	1934-1943	intraósea
14-17	1943-1944	.

15-1	1946-1950	Tras
15-2	1951-1952	5
15-3	1953-1958	meses
15-4	1959-1961	de
15-5	1962-1973	seguimiento
15-6	1973-1974	,
15-7	1975-1977	el
15-8	1978-1986	paciente
15-9	1987-1991	está
15-10	1992-2005	completamente
15-11	2006-2018	asintomático
15-12	2018-2019	,
15-13	2020-2023	con
15-14	2024-2026	un
15-15	2027-2036	resultado
15-16	2037-2045	estético
15-17	2046-2055	excelente
15-18	2055-2056	.
