1-1	0-11	Presentamos
7-11	1225-1231	Neuman
7-12	1232-1239	parcial
7-13	1239-1240	,
7-14	1241-1244	con
7-15	1245-1253	descarga
7-16	1254-1255	a
7-17	1256-1261	nivel
7-18	1262-1265	del
7-19	1266-1274	incisivo
7-20	1275-1282	lateral
7-21	1283-1292	izquierdo
7-22	1292-1293	.

8-1	1294-1296	No
8-2	1297-1299	se
8-3	1300-1307	realizó
8-4	1308-1316	descarga
8-5	1317-1319	en
8-6	1320-1322	el
8-7	1323-1329	cuarto
8-8	1330-1339	cuadrante
8-9	1340-1343	por
8-10	1344-1346	la
8-11	1347-1355	cercanía
8-12	1356-1359	del
8-13	1360-1367	agujero
8-14	1368-1378	mentoniano
8-15	1378-1379	,
8-16	1380-1393	identificando
8-17	1394-1395	y
8-18	1396-1407	protegiendo
8-19	1408-1410	al
8-20	1411-1417	nervio
8-21	1418-1428	mentoniano
8-22	1429-1436	derecho
8-23	1437-1444	durante
8-24	1445-1447	la
8-25	1448-1460	intervención
8-26	1460-1461	.

9-1	1462-1464	El
9-2	1465-1471	diente
9-3	1472-1474	se
9-4	1475-1482	extrajo
9-5	1483-1491	mediante
9-6	1492-1502	osteotomía
9-7	1503-1510	coronal
9-8	1511-1512	y
9-9	1513-1518	doble
9-10	1519-1532	odontosección
9-11	1532-1533	,
9-12	1534-1544	eliminando
9-13	1545-1552	también
9-14	1553-1555	el
9-15	1556-1560	saco
9-16	1561-1574	pericoronario
9-17	1574-1575	.

10-1	1577-1587	Finalmente
10-2	1588-1590	se
10-3	1591-1597	suturó
10-4	1598-1600	la
10-5	1601-1607	herida
10-6	1608-1609	y
10-7	1610-1612	se
10-8	1613-1623	prescribió
10-9	1624-1635	tratamiento
10-10	1636-1646	analgésico
10-11	1646-1647	,
10-12	1648-1664	antiinflamatorio
10-13	1665-1666	(
10-14	1666-1676	Ibuprofeno
10-15	1677-1680	600
10-16	1681-1684	mgr
10-17	1684-1685	,
10-18	1686-1687	1
10-19	1688-1692	comp
10-20	1692-1693	.
10-21	1694-1695	/
10-22	1696-1697	8
10-23	1698-1703	horas
10-24	1704-1711	durante
10-25	1712-1715	una
10-26	1716-1722	semana
10-27	1722-1723	)
10-28	1724-1725	y
10-29	1726-1737	antibiótico
10-30	1738-1739	(
10-31	1739-1750	Amoxicilina
10-32	1751-1754	875
10-33	1755-1758	mgr
10-34	1759-1760	/
10-35	1761-1766	Ácido
10-36	1767-1778	clavulánico
10-37	1779-1782	125
10-38	1783-1786	mgr
10-39	1786-1787	,
10-40	1788-1789	1
10-41	1790-1794	comp
10-42	1794-1795	.
10-43	1796-1797	/
10-44	1798-1799	8
10-45	1800-1805	horas
10-46	1806-1813	durante
10-47	1814-1817	una
10-48	1818-1824	semana
10-49	1824-1825	)
10-50	1826-1833	durante
10-51	1834-1836	el
10-52	1837-1851	postoperatorio
10-53	1851-1852	,
10-54	1853-1856	que
10-55	1857-1868	transcurrió
10-56	1869-1872	sin
10-57	1873-1884	incidencias
10-58	1884-1885	.

11-1	1886-1889	Los
11-2	1890-1896	puntos
11-3	1897-1899	se
11-4	1900-1909	retiraron
11-5	1910-1911	a
11-6	1912-1915	los
11-7	1916-1920	diez
11-8	1921-1925	días
11-9	1925-1926	.

12-1	1927-1929	La
12-2	1930-1939	evolución
12-3	1940-1943	fue
12-4	1944-1953	favorable
12-5	1954-1957	sin
12-6	1958-1968	detectarse
12-7	1969-1981	complicación
12-8	1982-1988	alguna
12-9	1988-1989	.
