1-1	0-11	Presentamos
10-7	1250-1252	la
10-8	1253-1262	motilidad
10-9	1263-1269	ocular
10-10	1270-1271	y
10-11	1272-1274	un
10-12	1275-1282	aspecto
10-13	1283-1296	satisfactorio
10-14	1297-1300	con
10-15	1301-1303	la
10-16	1304-1312	prótesis
10-17	1313-1319	ocular
10-18	1320-1327	externa
10-19	1327-1328	,
10-20	1329-1340	manteniendo
10-21	1341-1344	una
10-22	1345-1350	buena
10-23	1351-1358	calidad
10-24	1359-1361	de
10-25	1362-1366	vida
10-26	1366-1367	,
10-27	1368-1379	presentando
10-28	1379-1380	,
10-29	1381-1391	únicamente
10-30	1391-1392	,
10-31	1393-1403	dificultad
10-32	1404-1408	para
10-33	1409-1417	realizar
10-34	1418-1424	tareas
10-35	1425-1435	cotidianas
10-36	1436-1439	que
10-37	1440-1451	requiriesen
10-38	1452-1455	una
10-39	1456-1461	buena
10-40	1462-1468	visión
10-41	1469-1478	binocular
10-42	1478-1479	.

11-1	1481-1483	El
11-2	1484-1490	examen
11-3	1491-1503	macroscópico
11-4	1504-1506	de
11-5	1507-1513	cortes
11-6	1514-1522	seriados
11-7	1523-1526	del
11-8	1527-1532	globo
11-9	1533-1539	ocular
11-10	1540-1546	mostró
11-11	1547-1550	una
11-12	1551-1555	masa
11-13	1556-1571	circunferencial
11-14	1572-1574	de
11-15	1575-1586	crecimiento
11-16	1587-1597	endofítico
11-17	1598-1607	abarcando
11-18	1608-1621	prácticamente
11-19	1622-1626	toda
11-20	1627-1629	la
11-21	1630-1638	coroides
11-22	1639-1652	extendiéndose
11-23	1653-1658	hasta
11-24	1659-1665	cuerpo
11-25	1666-1672	ciliar
11-26	1673-1674	e
11-27	1675-1679	iris
11-28	1679-1680	,
11-29	1681-1696	correspondiendo
11-30	1697-1713	histológicamente
11-31	1714-1715	a
11-32	1716-1719	una
11-33	1720-1733	proliferación
11-34	1734-1736	de
11-35	1737-1744	células
11-36	1745-1755	fusiformes
11-37	1756-1757	y
11-38	1758-1770	epitelioides
11-39	1771-1774	con
11-40	1775-1785	citoplasma
11-41	1786-1792	amplio
11-42	1792-1793	,
11-43	1794-1804	pigmentado
11-44	1804-1805	,
11-45	1806-1813	núcleos
11-46	1814-1822	ovalados
11-47	1823-1826	con
11-48	1827-1836	nucleolos
11-49	1837-1848	prominentes
11-50	1849-1852	con
11-51	1853-1855	un
11-52	1856-1861	grado
11-53	1862-1864	de
11-54	1865-1871	atipia
11-55	1872-1885	significativa
11-56	1885-1886	.

12-1	1887-1889	El
12-2	1890-1896	número
12-3	1897-1899	de
12-4	1900-1907	mitosis
12-5	1908-1911	fue
12-6	1912-1919	elevado
12-7	1919-1920	,
12-8	1921-1935	evidenciándose
12-9	1936-1941	focos
12-10	1942-1954	hemorrágicos
12-11	1955-1956	y
12-12	1957-1967	necróticos
12-13	1967-1968	.

13-1	1969-1974	Estos
13-2	1975-1980	datos
13-3	1981-1999	anatomopatológicos
13-4	2000-2011	confirmaron
13-5	2012-2014	el
13-6	2015-2026	diagnóstico
13-7	2027-2029	de
13-8	2030-2038	melanoma
13-9	2039-2044	uveal
13-10	2045-2051	difuso
13-11	2051-2052	,
13-12	2053-2056	con
13-13	2057-2068	perforación
13-14	2069-2071	de
13-15	2072-2074	la
13-16	2075-2080	pared
13-17	2081-2089	escleral
13-18	2090-2100	alcanzando
13-19	2101-2103	la
13-20	2104-2114	superficie
13-21	2115-2122	externa
13-22	2123-2125	de
13-23	2126-2128	la
13-24	2129-2134	misma
13-25	2134-2135	.
