1-1	0-11	Presentamos
6-16	1289-1300	intravenosa
6-17	1301-1305	para
6-18	1306-1315	descartar
6-19	1316-1321	tumor
6-20	1322-1331	urotelial
6-21	1332-1335	del
6-22	1336-1342	tracto
6-23	1343-1351	urinario
6-24	1352-1360	superior
6-25	1360-1361	,
6-26	1362-1364	la
6-27	1365-1369	cual
6-28	1370-1373	fue
6-29	1374-1387	rigurosamente
6-30	1388-1394	normal
6-31	1394-1395	,
6-32	1396-1397	y
6-33	1398-1407	ecografía
6-34	1408-1417	urológica
6-35	1418-1421	que
6-36	1422-1429	también
6-37	1430-1433	fue
6-38	1434-1440	normal
6-39	1440-1441	,
6-40	1442-1445	por
6-41	1446-1448	lo
6-42	1449-1452	que
6-43	1453-1455	se
6-44	1456-1463	realizó
6-45	1464-1475	cistoscopia
6-46	1476-1478	en
6-47	1479-1487	consulta
6-48	1487-1488	,
6-49	1489-1497	hallando
6-50	1498-1506	lesiones
6-51	1507-1516	nodulares
6-52	1516-1517	,
6-53	1518-1531	sobreelevadas
6-54	1531-1532	,
6-55	1533-1535	de
6-56	1536-1543	aspecto
6-57	1544-1550	sólido
6-58	1550-1551	,
6-59	1552-1565	discretamente
6-60	1566-1577	enrojecidas
6-61	1577-1578	,
6-62	1579-1582	con
6-63	1583-1588	áreas
6-64	1589-1599	adyacentes
6-65	1600-1602	de
6-66	1603-1608	edema
6-67	1608-1609	,
6-68	1610-1621	localizadas
6-69	1622-1624	en
6-70	1625-1632	trígono
6-71	1633-1634	y
6-72	1635-1640	parte
6-73	1641-1649	inferior
6-74	1650-1652	de
6-75	1653-1658	ambas
6-76	1659-1664	caras
6-77	1665-1674	laterales
6-78	1674-1675	.

7-1	1676-1682	Debido
7-2	1683-1684	a
7-3	1685-1689	este
7-4	1690-1698	hallazgo
7-5	1698-1699	,
7-6	1700-1701	a
7-7	1702-1707	pesar
7-8	1708-1710	de
7-9	1711-1714	que
7-10	1715-1717	la
7-11	1718-1726	paciente
7-12	1727-1729	no
7-13	1730-1735	tenía
7-14	1736-1744	factores
7-15	1745-1747	de
7-16	1748-1754	riesgo
7-17	1755-1759	para
7-18	1760-1763	TBC
7-19	1764-1765	y
7-20	1766-1768	la
7-21	1769-1778	urografía
7-22	1779-1782	fue
7-23	1783-1796	rigurosamente
7-24	1797-1803	normal
7-25	1803-1804	,
7-26	1805-1807	se
7-27	1808-1815	realizó
7-28	1816-1828	baciloscopia
7-29	1829-1831	en
7-30	1832-1837	orina
7-31	1838-1839	y
7-32	1840-1847	cultivo
7-33	1848-1865	Lowenstein-Jensen
7-34	1866-1868	de
7-35	1869-1870	6
7-36	1871-1879	muestras
7-37	1880-1882	de
7-38	1883-1885	la
7-39	1886-1893	primera
7-40	1894-1899	orina
7-41	1900-1902	de
7-42	1903-1905	la
7-43	1906-1912	mañana
7-44	1913-1915	en
7-45	1916-1920	días
7-46	1921-1933	consecutivos
7-47	1933-1934	,
7-48	1935-1937	ya
7-49	1938-1941	que
7-50	1942-1945	las
7-51	1946-1954	lesiones
7-52	1955-1964	vesicales
7-53	1965-1982	macroscópicamente
7-54	1983-1990	podrían
7-55	1991-1999	tratarse
7-56	2000-2002	de
7-57	2003-2015	tuberculomas
7-58	2015-2016	,
7-59	2017-2023	siendo
7-60	2024-2029	estos
7-61	2030-2038	estudios
7-62	2039-2048	negativos
7-63	2049-2053	para
7-64	2054-2060	bacilo
7-65	2061-2063	de
7-66	2064-2068	Koch
7-67	2068-2069	,
7-68	2070-2073	por
7-69	2074-2076	lo
7-70	2077-2080	que
7-71	2081-2083	se
7-72	2084-2091	realizó
7-73	2092-2101	resección
7-74	2102-2113	endoscópica
7-75	2114-2116	de
7-76	2117-2120	las
7-77	2121-2129	lesiones
7-78	2130-2139	descritas
7-79	2140-2144	bajo
7-80	2145-2154	anestesia
7-81	2154-2155	.

8-1	2156-2158	El
8-2	2159-2166	estudio
8-3	2167-2184	anatomopatológico
8-4	2185-2191	reveló
8-5	2192-2202	ulceración
8-6	2203-2205	de
8-7	2206-2208	la
8-8	2209-2215	mucosa
8-9	2216-2219	con
8-10	2220-2230	importante
8-11	2231-2241	infiltrado
8-12	2242-2254	inflamatorio
8-13	2255-2262	crónico
8-14	2263-2264	y
8-15	2265-2275	congestión
8-16	2276-2284	vascular
8-17	2284-2285	,
8-18	2286-2289	así
8-19	2290-2294	como
8-20	2295-2297	la
8-21	2298-2307	presencia
8-22	2308-2310	de
8-23	2311-2318	células
8-24	2319-2330	plasmáticas
8-25	2331-2332	y
8-26	2333-2343	linfocitos
8-27	2344-2357	constituyendo
8-28	2358-2367	folículos
8-29	2368-2377	linfoides
8-30	2377-2378	,
8-31	2379-2382	los
8-32	2383-2389	cuales
8-33	2390-2395	están
8-34	2396-2405	divididos
8-35	2406-2408	en
8-36	2409-2412	una
8-37	2413-2417	zona
8-38	2418-2425	central
8-39	2426-2431	donde
8-40	2432-2439	abundan
8-41	2440-2452	linfoblastos
8-42	2453-2454	e
8-43	2455-2468	inmunoblastos
8-44	2468-2469	,
8-45	2470-2477	llamado
8-46	2478-2484	centro
8-47	2485-2496	germinativo
8-48	2497-2502	claro
8-49	2502-2503	,
8-50	2504-2505	y
8-51	2506-2509	una
8-52	2510-2514	zona
8-53	2515-2525	periférica
8-54	2526-2533	formada
8-55	2534-2537	por
8-56	2538-2545	células
8-57	2546-2553	maduras
8-58	2554-2555	(
8-59	2555-2565	linfocitos
8-60	2566-2567	y
8-61	2568-2575	células
8-62	2576-2587	plasmáticas
8-63	2587-2588	)
8-64	2589-2594	dando
8-65	2595-2600	lugar
8-66	2601-2602	a
8-67	2603-2606	los
8-68	2607-2617	linfocitos
8-69	2618-2621	del
8-70	2622-2627	manto
8-71	2628-2629	o
8-72	2630-2636	corona
8-73	2637-2644	radiada
8-74	2644-2645	,
8-75	2646-2650	como
8-76	2651-2658	también
8-77	2659-2661	se
8-78	2662-2665	les
8-79	2666-2674	denomina
8-80	2674-2675	.

9-1	2679-2680	A
9-2	2681-2683	la
9-3	2684-2692	paciente
9-4	2693-2695	se
9-5	2696-2698	le
9-6	2699-2705	indicó
9-7	2706-2713	medidas
9-8	2714-2734	higiénico-dietéticas
9-9	2735-2736	y
9-10	2737-2747	profilaxis
9-11	2748-2759	antibiótica
9-12	2760-2769	mantenida
9-13	2770-2775	ciclo
9-14	2776-2781	largo
9-15	2782-2783	a
9-16	2784-2789	dosis
9-17	2790-2795	única
9-18	2796-2802	diaria
9-19	2803-2811	nocturna
9-20	2812-2813	3
9-21	2814-2819	meses
9-22	2820-2821	y
9-23	2822-2836	posteriormente
9-24	2837-2841	días
9-25	2842-2850	alternos
9-26	2851-2858	durante
9-27	2859-2860	6
9-28	2861-2866	meses
9-29	2867-2870	con
9-30	2871-2885	ciprofloxacino
9-31	2885-2886	,
9-32	2887-2895	vitamina
9-33	2896-2897	A
9-34	2898-2903	dosis
9-35	2904-2909	única
9-36	2910-2916	diaria
9-37	2917-2918	6
9-38	2919-2924	meses
9-39	2924-2925	,
9-40	2926-2936	prednisona
9-41	2937-2941	30mg
9-42	2942-2949	durante
9-43	2950-2952	45
9-44	2953-2957	días
9-45	2958-2959	y
9-46	2960-2974	posteriormente
9-47	2975-2977	en
9-48	2978-2982	días
9-49	2983-2991	alternos
9-50	2992-2999	durante
9-51	3000-3005	otros
9-52	3006-3008	45
9-53	3009-3013	días
9-54	3014-3019	hasta
9-55	3020-3022	su
9-56	3023-3033	suspensión
9-57	3034-3044	definitiva
9-58	3044-3045	,
9-59	3046-3047	y
9-60	3048-3051	por
9-61	3052-3058	último
9-62	3059-3069	protección
9-63	3070-3079	digestiva
9-64	3080-3083	con
9-65	3084-3093	omeprazol
9-66	3093-3094	.

10-1	3095-3097	La
10-2	3098-3106	paciente
10-3	3107-3118	experimentó
10-4	3119-3124	clara
10-5	3125-3132	mejoría
10-6	3133-3136	con
10-7	3137-3149	desaparición
10-8	3150-3160	progresiva
10-9	3161-3163	de
10-10	3164-3166	la
10-11	3167-3174	clínica
10-12	3174-3175	,
10-13	3176-3181	sobre
10-14	3182-3186	todo
10-15	3187-3188	a
10-16	3189-3195	partir
10-17	3196-3199	del
10-18	3200-3206	tercer
10-19	3207-3210	mes
10-20	3211-3213	de
10-21	3214-3225	tratamiento
10-22	3225-3226	.

11-1	3228-3239	Actualmente
11-2	3240-3241	(
11-3	3241-3243	al
11-4	3244-3247	año
11-5	3248-3250	de
11-6	3251-3263	finalización
11-7	3264-3267	del
11-8	3268-3279	tratamiento
11-9	3279-3280	)
11-10	3280-3281	,
11-11	3282-3284	se
11-12	3285-3294	encuentra
11-13	3295-3307	asintomática
11-14	3308-3311	con
11-15	3312-3323	cistoscopia
11-16	3324-3326	de
11-17	3327-3334	control
11-18	3335-3341	normal
11-19	3342-3343	y
11-20	3344-3355	urocultivos
11-21	3356-3365	negativos
11-22	3365-3366	.
